time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T23:54:46.650Z,34.0353333,-116.7521667,10.95,0.56,ml,14,148,0.0866,0.27,ci,ci38345376,2018-11-01T23:58:29.929Z,"14km NNE of Cabazon, CA",earthquake,0.66,1.79,0.136,11,automatic,ci,ci
2018-11-01T23:53:29.622Z,64.4806,-149.4206,15.5,1.4,ml,,,,0.58,ak,ak20310635,2018-11-01T23:57:23.846Z,"18km SW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-01T23:36:36.710Z,35.2176667,-118.1198333,1.53,1.79,ml,38,54,0.1067,0.21,ci,ci38345360,2018-11-01T23:57:50.220Z,"16km NW of California City, CA",earthquake,0.23,0.63,0.207,22,reviewed,ci,ci
2018-11-01T23:33:50.557Z,63.2042,-150.4502,32.7,1.4,ml,,,,0.79,ak,ak20310457,2018-11-01T23:37:55.561Z,"78km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-01T23:05:27.554Z,62.291,-149.1783,35,1.4,ml,,,,0.32,ak,ak20310426,2018-11-01T23:08:12.640Z,"37km ENE of Y, Alaska",earthquake,,3.8,,,automatic,ak,ak
2018-11-01T22:59:28.860Z,37.1552,20.5555,10,4.4,mb,,110,2.333,0.77,us,us2000i5nc,2018-11-01T23:20:58.040Z,"66km SSW of Lithakia, Greece",earthquake,5.4,2,0.219,6,reviewed,us,us
2018-11-01T22:53:04.590Z,-27.1902,-71.2447,20.17,4.5,mwr,,136,0.809,1.04,us,us2000i5n5,2018-11-01T23:15:22.040Z,"92km WNW of Copiapo, Chile",earthquake,4.6,5.1,0.053,34,reviewed,us,us
2018-11-01T22:48:56.020Z,61.0778,-152.4438,105.9,1.3,ml,,,,0.53,ak,ak20310421,2018-11-01T23:09:53.579Z,"68km NNE of Redoubt Volcano, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2018-11-01T22:43:58.550Z,37.628,-119.005,-0.15,0.76,md,9,73,0.0153,0.04,nc,nc73104936,2018-11-01T23:41:42.336Z,"2km WSW of Mammoth Lakes, CA",earthquake,0.49,0.59,0.085,5,reviewed,nc,nc
2018-11-01T22:34:44.740Z,47.7731666666667,-122.318,22.4,1.65,ml,9,103,,0.13,uw,uw61502022,2018-11-01T22:56:27.510Z,"1km SSW of Mountlake Terrace, Washington",earthquake,0.39,1.57,0.215804373706319,6,reviewed,uw,uw
