time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-02T00:52:06.210Z,41.0528336,-121.954834,7.53,2.42,md,21,45,0.2448,0.08,nc,nc73104946,2018-11-02T00:53:42.291Z,"5km NW of Big Bend, CA",earthquake,0.26,2.01,0.1,14,automatic,nc,nc
2018-11-02T00:42:43.120Z,19.2076664,-155.4793396,36.42,2.73,ml,17,214,0.08283,0.24,hv,hv70679397,2018-11-02T00:48:25.580Z,"0km NNE of Pahala, Hawaii",earthquake,1.86,3.08,0.31,3,automatic,hv,hv
2018-11-02T00:42:25.360Z,33.037,-116.4265,10.37,0.88,ml,23,103,0.1446,0.16,ci,ci38345416,2018-11-02T00:46:08.564Z,"17km ESE of Julian, CA",earthquake,0.31,0.62,0.123,13,automatic,ci,ci
2018-11-02T00:07:41.514Z,38.4,-118.9067,8.3,1.2,ml,7,169.09,0.125,0.1041,nn,nn00663804,2018-11-02T00:22:52.586Z,"28km WSW of Hawthorne, Nevada",earthquake,,3.7,0.2,3,reviewed,nn,nn
2018-11-01T23:54:46.660Z,34.0325,-116.741,11.87,0.44,ml,18,169,0.05552,0.1,ci,ci38345376,2018-11-02T00:07:27.025Z,"14km NNE of Cabazon, CA",earthquake,0.28,0.54,0.126,4,reviewed,ci,ci
2018-11-01T23:54:14.836Z,36.4722,-117.642,10.5,0.9,ml,11,155.1,0.354,0.2119,nn,nn00663801,2018-11-02T00:16:41.226Z,"40km ESE of Lone Pine, California",earthquake,,2.7,0.14,8,reviewed,nn,nn
2018-11-01T23:53:29.622Z,64.4806,-149.4206,15.5,1.4,ml,,,,0.58,ak,ak20310635,2018-11-01T23:57:23.846Z,"18km SW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-01T23:49:21.670Z,-18.2352,-178.2995,594.74,4.3,mb,,80,3.505,1.32,us,us2000i5p0,2018-11-02T00:20:43.040Z,"270km N of Ndoi Island, Fiji",earthquake,13.8,9.3,0.05,114,reviewed,us,us
2018-11-01T23:36:36.710Z,35.2176667,-118.1198333,1.53,1.79,ml,38,54,0.1067,0.21,ci,ci38345360,2018-11-01T23:57:50.220Z,"16km NW of California City, CA",earthquake,0.23,0.63,0.207,22,reviewed,ci,ci
2018-11-01T23:33:50.557Z,63.2042,-150.4502,32.7,1.4,ml,,,,0.79,ak,ak20310457,2018-11-01T23:37:55.561Z,"78km WSW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-01T23:05:27.554Z,62.291,-149.1783,35,1.4,ml,,,,0.32,ak,ak20310426,2018-11-01T23:08:12.640Z,"37km ENE of Y, Alaska",earthquake,,3.8,,,automatic,ak,ak
2018-11-01T22:59:28.860Z,37.1552,20.5555,10,4.4,mb,,110,2.333,0.77,us,us2000i5nc,2018-11-01T23:20:58.040Z,"66km SSW of Lithakia, Greece",earthquake,5.4,2,0.219,6,reviewed,us,us
2018-11-01T22:53:04.590Z,-27.1902,-71.2447,20.17,4.5,mwr,,136,0.809,1.04,us,us2000i5n5,2018-11-02T00:05:22.987Z,"92km WNW of Copiapo, Chile",earthquake,4.6,5.1,0.053,34,reviewed,us,us
2018-11-01T22:48:56.020Z,61.0778,-152.4438,105.9,1.3,ml,,,,0.53,ak,ak20310421,2018-11-01T23:09:53.579Z,"68km NNE of Redoubt Volcano, Alaska",earthquake,,1.9,,,reviewed,ak,ak
2018-11-01T22:43:58.550Z,37.628,-119.005,-0.15,0.76,md,9,73,0.0153,0.04,nc,nc73104936,2018-11-02T00:06:03.297Z,"2km WSW of Mammoth Lakes, CA",earthquake,0.49,0.59,0.085,5,reviewed,nc,nc
2018-11-01T22:34:44.740Z,47.7731666666667,-122.318,22.4,1.65,ml,9,103,,0.13,uw,uw61502022,2018-11-01T22:56:27.510Z,"1km SSW of Mountlake Terrace, Washington",earthquake,0.39,1.57,0.215804373706319,6,reviewed,uw,uw
2018-11-01T22:31:55.906Z,61.408,-149.898,32.6,1.7,ml,,,,0.5,ak,ak20310226,2018-11-01T22:44:12.230Z,"12km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
